"";"col_100";"col_101";"n_differences"
"1";"Insured_Age";"Insured_Age";11
"2";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";15
"3";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";15
"4";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";15
"5";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";15
"6";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";15
"7";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";15
"8";"CFExpenseTotal_t0_6";"CFExpenseTotal_t0_6";15
"9";"CFExpenseTotal_t0_7";"CFExpenseTotal_t0_7";15
"10";"CFExpenseTotal_t0_8";"CFExpenseTotal_t0_8";15
"11";"CFExpenseTotal_t0_9";"CFExpenseTotal_t0_9";15
"12";"CFExpenseTotal_t0_10";"CFExpenseTotal_t0_10";15
"13";"CFExpenseTotal_t0_11";"CFExpenseTotal_t0_11";15
"14";"CFExpenseTotal_t0_12";"CFExpenseTotal_t0_12";15
"15";"CFExpenseTotal_t0_13";"CFExpenseTotal_t0_13";15
"16";"CFExpenseTotal_t0_14";"CFExpenseTotal_t0_14";15
"17";"CFExpenseTotal_t0_15";"CFExpenseTotal_t0_15";15
"18";"CFExpenseTotal_t0_16";"CFExpenseTotal_t0_16";15
"19";"CFExpenseTotal_t0_17";"CFExpenseTotal_t0_17";15
"20";"CFExpenseTotal_t0_18";"CFExpenseTotal_t0_18";15
"21";"CFExpenseTotal_t0_19";"CFExpenseTotal_t0_19";15
"22";"CFExpenseTotal_t0_20";"CFExpenseTotal_t0_20";15
"23";"CFExpenseTotal_t0_21";"CFExpenseTotal_t0_21";15
"24";"CFExpenseTotal_t0_22";"CFExpenseTotal_t0_22";15
"25";"CFExpenseTotal_t0_23";"CFExpenseTotal_t0_23";15
"26";"CFExpenseTotal_t0_24";"CFExpenseTotal_t0_24";15
"27";"CFExpenseTotal_t0_25";"CFExpenseTotal_t0_25";15
"28";"CFExpenseTotal_t0_26";"CFExpenseTotal_t0_26";15
"29";"CFExpenseTotal_t0_27";"CFExpenseTotal_t0_27";15
"30";"CFExpenseTotal_t0_28";"CFExpenseTotal_t0_28";15
"31";"CFExpenseTotal_t0_29";"CFExpenseTotal_t0_29";15
"32";"CFExpenseTotal_t0_30";"CFExpenseTotal_t0_30";15
"33";"CFExpenseTotal_t0_31";"CFExpenseTotal_t0_31";15
"34";"CFExpenseTotal_t0_32";"CFExpenseTotal_t0_32";15
"35";"CFExpenseTotal_t0_33";"CFExpenseTotal_t0_33";15
"36";"CFExpenseTotal_t0_34";"CFExpenseTotal_t0_34";15
"37";"CFExpenseTotal_t0_35";"CFExpenseTotal_t0_35";15
"38";"CFExpenseTotal_t0_36";"CFExpenseTotal_t0_36";15
"39";"CFExpenseTotal_t0_37";"CFExpenseTotal_t0_37";15
"40";"CFExpenseTotal_t0_38";"CFExpenseTotal_t0_38";15
"41";"CFExpenseTotal_t0_39";"CFExpenseTotal_t0_39";15
"42";"CFExpenseTotal_t0_40";"CFExpenseTotal_t0_40";15
"43";"CFExpenseTotal_t0_41";"CFExpenseTotal_t0_41";15
"44";"CFExpenseTotal_t0_42";"CFExpenseTotal_t0_42";15
"45";"CFExpenseTotal_t0_43";"CFExpenseTotal_t0_43";15
"46";"CFExpenseTotal_t0_44";"CFExpenseTotal_t0_44";15
"47";"CFExpenseTotal_t0_45";"CFExpenseTotal_t0_45";15
"48";"CFExpenseTotal_t0_46";"CFExpenseTotal_t0_46";15
"49";"CFExpenseTotal_t0_47";"CFExpenseTotal_t0_47";15
"50";"CFExpenseTotal_t0_48";"CFExpenseTotal_t0_48";15
"51";"CFExpenseTotal_t0_49";"CFExpenseTotal_t0_49";15
"52";"CFExpenseTotal_t0_50";"CFExpenseTotal_t0_50";15
"53";"CFExpenseTotal_t0_51";"CFExpenseTotal_t0_51";15
"54";"CFExpenseTotal_t0_52";"CFExpenseTotal_t0_52";15
"55";"CFExpenseTotal_t0_53";"CFExpenseTotal_t0_53";15
"56";"CFExpenseTotal_t0_54";"CFExpenseTotal_t0_54";15
"57";"CFExpenseTotal_t0_55";"CFExpenseTotal_t0_55";15
"58";"CFExpenseTotal_t0_56";"CFExpenseTotal_t0_56";15
"59";"CFExpenseTotal_t0_57";"CFExpenseTotal_t0_57";15
"60";"CFExpenseTotal_t0_58";"CFExpenseTotal_t0_58";15
"61";"CFExpenseTotal_t0_59";"CFExpenseTotal_t0_59";15
"62";"CFExpenseTotal_t0_60";"CFExpenseTotal_t0_60";15
"63";"CFExpenseTotal_t0_61";"CFExpenseTotal_t0_61";15
"64";"CFExpenseTotal_t0_62";"CFExpenseTotal_t0_62";15
"65";"CFExpenseTotal_t0_63";"CFExpenseTotal_t0_63";15
"66";"CFExpenseTotal_t0_64";"CFExpenseTotal_t0_64";15
"67";"CFExpenseTotal_t0_65";"CFExpenseTotal_t0_65";15
"68";"CFExpenseTotal_t0_66";"CFExpenseTotal_t0_66";15
"69";"CFExpenseTotal_t0_67";"CFExpenseTotal_t0_67";15
"70";"CFExpenseTotal_t0_68";"CFExpenseTotal_t0_68";13
"71";"CFExpenseTotal_t0_69";"CFExpenseTotal_t0_69";7
"72";"CFExpenseTotal_t0_70";"CFExpenseTotal_t0_70";7
"73";"CFExpenseTotal_t0_71";"CFExpenseTotal_t0_71";7
"74";"CFExpenseTotal_t0_72";"CFExpenseTotal_t0_72";7
"75";"CFExpenseTotal_t0_73";"CFExpenseTotal_t0_73";7
"76";"CFExpenseTotal_t0_74";"CFExpenseTotal_t0_74";7
"77";"CFExpenseTotal_t0_75";"CFExpenseTotal_t0_75";7
"78";"CFExpenseTotal_t0_76";"CFExpenseTotal_t0_76";7
"79";"CFExpenseTotal_t0_77";"CFExpenseTotal_t0_77";7
"80";"CFExpenseTotal_t0_78";"CFExpenseTotal_t0_78";7
"81";"CFExpenseTotal_t0_79";"CFExpenseTotal_t0_79";7
"82";"CFExpenseTotal_t0_80";"CFExpenseTotal_t0_80";7
"83";"CFExpenseTotal_t0_81";"CFExpenseTotal_t0_81";7
"84";"CFExpenseTotal_t0_82";"CFExpenseTotal_t0_82";4
"85";"CFSurrenderExpense_t0_0";"CFSurrenderExpense_t0_0";1
"86";"CFSurrenderExpense_t0_1";"CFSurrenderExpense_t0_1";1
"87";"CFSurrenderExpense_t0_2";"CFSurrenderExpense_t0_2";1
"88";"CFSurrenderExpense_t0_3";"CFSurrenderExpense_t0_3";1
"89";"CFSurrenderExpense_t0_4";"CFSurrenderExpense_t0_4";1
"90";"CFSurrenderExpense_t0_5";"CFSurrenderExpense_t0_5";1
"91";"CFSurrenderExpense_t0_6";"CFSurrenderExpense_t0_6";1
"92";"CFSurrenderExpense_t0_7";"CFSurrenderExpense_t0_7";1
"93";"CFSurrenderExpense_t0_8";"CFSurrenderExpense_t0_8";1
"94";"CFSurrenderExpense_t0_9";"CFSurrenderExpense_t0_9";1
"95";"CFSurrenderExpense_t0_10";"CFSurrenderExpense_t0_10";1
"96";"CFSurrenderExpense_t0_11";"CFSurrenderExpense_t0_11";1
"97";"CFSurrenderExpense_t0_12";"CFSurrenderExpense_t0_12";1
"98";"CFSurrenderExpense_t0_13";"CFSurrenderExpense_t0_13";1
