"";"col_100";"col_101";"n_differences"
"99";"CFSurrenderExpense_t0_14";"CFSurrenderExpense_t0_14";1
"100";"CFSurrenderExpense_t0_15";"CFSurrenderExpense_t0_15";1
"101";"CFSurrenderExpense_t0_16";"CFSurrenderExpense_t0_16";1
"102";"CFSurrenderExpense_t0_17";"CFSurrenderExpense_t0_17";1
"103";"CFSurrenderExpense_t0_18";"CFSurrenderExpense_t0_18";1
"104";"CFSurrenderExpense_t0_19";"CFSurrenderExpense_t0_19";1
"105";"CFSurrenderExpense_t0_20";"CFSurrenderExpense_t0_20";1
"106";"CFSurrenderExpense_t0_21";"CFSurrenderExpense_t0_21";1
"107";"CFSurrenderExpense_t0_22";"CFSurrenderExpense_t0_22";1
"108";"CFSurrenderExpense_t0_23";"CFSurrenderExpense_t0_23";1
"109";"CFSurrenderExpense_t0_24";"CFSurrenderExpense_t0_24";1
"110";"CFSurrenderExpense_t0_25";"CFSurrenderExpense_t0_25";1
"111";"CFSurrenderExpense_t0_26";"CFSurrenderExpense_t0_26";1
"112";"CFSurrenderExpense_t0_27";"CFSurrenderExpense_t0_27";1
"113";"CFSurrenderExpense_t0_28";"CFSurrenderExpense_t0_28";1
"114";"CFSurrenderExpense_t0_29";"CFSurrenderExpense_t0_29";1
"115";"CFSurrenderExpense_t0_30";"CFSurrenderExpense_t0_30";1
"116";"CFSurrenderExpense_t0_31";"CFSurrenderExpense_t0_31";1
"117";"CFSurrenderExpense_t0_32";"CFSurrenderExpense_t0_32";1
"118";"CFSurrenderExpense_t0_33";"CFSurrenderExpense_t0_33";1
