"";"col_100";"col_101";"row_name";"value_100";"value_101"
"1";"Insured_Age";"Insured_Age";201;47.75;147.75
"2";"Insured_Age";"Insured_Age";202;47.75;147.75
"3";"Insured_Age";"Insured_Age";203;47.75;147.75
"4";"Insured_Age";"Insured_Age";204;47.75;147.75
"5";"Insured_Age";"Insured_Age";205;47.75;147.75
"6";"Insured_Age";"Insured_Age";206;47.75;147.75
"7";"Insured_Age";"Insured_Age";207;47.75;147.75
"8";"Insured_Age";"Insured_Age";208;47.75;147.75
"9";"Insured_Age";"Insured_Age";209;47.75;147.75
"10";"Insured_Age";"Insured_Age";210;47.75;147.75
"11";"Insured_Age";"Insured_Age";211;47.75;147.75
"12";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";121;3.961566343;4.793495275
"13";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";122;3.961566343;4.388727814
"14";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";195;2.976383428;1.461225898
"15";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";196;2.976383428;1.458333333
"16";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";197;2.976383428;1.458333333
"17";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";198;2.976383428;1.458333333
"18";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";199;2.976383428;1.458337363
"19";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";200;2.976383428;1.458333333
"20";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";233;2.705803117;2.918299853
"21";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";234;2.705803117;2.916776275
"22";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";235;2.705803117;2.916666667
"23";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";288;1.993348378;2.192683216
"24";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";289;1.993348378;2.189510158
"25";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";290;1.993348378;2.188446229
"26";"CFExpenseTotal_t0_0";"CFExpenseTotal_t0_0";291;1.993348378;2.1875
"27";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";121;3.975984321;4.810941028
"28";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";122;3.975984321;4.413940148
"29";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";195;2.987215869;1.469445785
"30";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";196;2.987215869;1.466565692
"31";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";197;2.987215869;1.466565692
"32";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";198;2.987215869;1.466565692
"33";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";199;2.987215869;1.466569704
"34";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";200;2.987215869;1.466565692
"35";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";233;2.71565079;2.942611774
"36";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";234;2.71565079;2.941090705
"37";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";235;2.71565079;2.940981278
"38";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";288;2.010092241;2.211101465
"39";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";289;2.010092241;2.207933359
"40";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";290;2.010092241;2.206871092
"41";"CFExpenseTotal_t0_1";"CFExpenseTotal_t0_1";291;2.010092241;2.205926339
"42";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";121;3.988282394;4.825821697
"43";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";122;3.988282394;4.437290653
"44";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";195;2.996455593;1.477064735
"45";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";196;2.996455593;1.474198318
"46";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";197;2.996455593;1.474198318
"47";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";198;2.996455593;1.474198318
"48";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";199;2.996455593;1.47420231
"49";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";200;2.996455593;1.474198318
"50";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";233;2.724050539;2.967117098
"51";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";234;2.724050539;2.96559854
"52";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";235;2.724050539;2.965489293
"53";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";288;2.026926551;2.229619206
"54";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";289;2.026926551;2.226456125
"55";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";290;2.026926551;2.225395542
"56";"CFExpenseTotal_t0_2";"CFExpenseTotal_t0_2";291;2.026926551;2.224452288
"57";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";121;3.998806471;4.83855583
"58";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";122;3.998806471;4.459017326
"59";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";195;3.004362487;1.484019288
"60";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";196;3.004362487;1.481167833
"61";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";197;3.004362487;1.481167833
"62";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";198;3.004362487;1.481167833
"63";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";199;3.004362487;1.481171805
"64";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";200;3.004362487;1.481167833
"65";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";233;2.731238625;2.991763203
"66";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";234;2.731238625;2.990247182
"67";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";235;2.731238625;2.990138118
"68";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";288;2.043882133;2.248270347
"69";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";289;2.043882133;2.245112313
"70";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";290;2.043882133;2.244053422
"71";"CFExpenseTotal_t0_3";"CFExpenseTotal_t0_3";291;2.043882133;2.243111673
"72";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";121;4.008002192;4.849682653
"73";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";122;4.008002192;4.479461221
"74";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";195;3.011271369;1.490280606
"75";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";196;3.011271369;1.487445418
"76";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";197;3.011271369;1.487445418
"77";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";198;3.011271369;1.487445418
"78";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";199;3.011271369;1.487449367
"79";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";200;3.011271369;1.487445418
"80";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";233;2.737519427;3.016489097
"81";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";234;2.737519427;3.014975673
"82";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";235;2.737519427;3.014866795
"83";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";288;2.060994387;2.267093826
"84";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";289;2.060994387;2.263940809
"85";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";290;2.060994387;2.262883601
"86";"CFExpenseTotal_t0_4";"CFExpenseTotal_t0_4";291;2.060994387;2.261943348
"87";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";121;4.016008135;4.859369843
"88";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";122;4.016008135;4.498733056
"89";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";195;3.017286352;1.495822701
"90";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";196;3.017286352;1.493005092
"91";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";197;3.017286352;1.493005092
"92";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";198;3.017286352;1.493005092
"93";"CFExpenseTotal_t0_5";"CFExpenseTotal_t0_5";199;3.017286352;1.493009017
